age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
41,2,180138,13,1,1,1,1,0,0,0,50,10,1
38,4,115076,14,1,1,1,1,0,0,0,70,41,1
23,2,115458,9,7,6,3,1,0,0,0,40,41,0
40,2,347890,13,1,3,1,1,0,0,0,40,41,1
41,1,196001,9,1,4,2,1,1,0,0,20,41,0
24,0,273905,12,1,11,1,1,0,0,0,50,41,0
38,2,179488,10,2,10,5,1,0,0,1741,40,41,0
58,2,236596,9,1,14,1,1,0,0,0,45,41,1
32,2,183916,9,7,4,5,1,1,0,0,34,41,0
40,2,207578,12,1,9,1,1,0,0,1977,60,41,1
41,2,112763,15,1,3,2,1,1,0,0,40,41,1
42,2,390781,13,1,14,2,2,1,0,0,40,41,0
59,4,171328,6,6,4,4,2,1,0,0,30,41,0
19,4,27382,10,7,14,3,1,0,0,0,40,41,0
58,2,259014,10,7,6,5,1,0,0,0,20,41,0
42,1,303044,9,1,7,1,3,0,0,0,40,14,1
20,2,117789,9,7,4,3,1,1,0,0,40,41,0
32,2,172579,9,4,4,5,1,1,0,0,30,41,0
45,2,187666,11,6,1,5,1,1,0,0,45,41,0
50,2,204518,4,2,10,5,1,0,0,0,40,41,0
36,2,150042,13,2,3,3,1,1,0,0,40,41,0
45,2,98092,9,1,5,1,1,0,0,0,60,41,0
17,2,245918,7,7,4,3,1,0,0,0,12,41,0
59,2,146013,10,1,5,1,1,0,4064,0,40,41,0
26,2,378322,7,1,10,1,1,0,0,0,40,41,0
37,5,257295,10,1,1,1,3,0,0,0,75,15,1
64,2,21174,9,1,1,1,1,0,0,0,40,41,1
33,2,185480,13,7,3,5,1,1,0,0,45,41,0
33,2,222205,9,1,10,2,1,1,0,0,40,41,1
61,2,69867,9,1,1,1,1,0,0,0,40,41,1
17,2,191260,5,7,4,3,1,0,1055,0,24,41,0
50,1,30653,14,1,7,1,1,0,2407,0,98,41,0
27,4,209109,14,7,3,3,1,0,0,0,35,41,0
30,2,70377,9,2,3,3,1,1,0,0,40,41,0
43,2,477983,9,1,2,1,2,0,0,0,40,41,0
44,2,170924,10,1,10,1,1,0,7298,0,40,41,1
35,2,190174,10,7,1,5,1,1,0,0,40,41,0
25,2,193787,10,7,9,3,1,1,0,0,40,41,0
24,2,279472,10,1,8,2,1,1,7298,0,48,41,1
22,2,34918,13,7,3,5,1,1,0,0,15,9,0
42,4,97688,10,1,10,1,1,0,5178,0,40,41,1
34,2,175413,12,2,5,4,2,1,0,0,45,41,0
60,2,173960,13,2,3,5,1,1,0,0,42,41,0
21,2,205759,9,7,2,3,1,0,0,0,40,41,0
57,3,425161,14,1,5,1,1,0,15024,0,40,41,1
41,2,220531,15,1,3,1,1,0,0,0,60,41,1
50,2,176609,10,2,4,5,1,0,0,0,45,41,0
25,2,371987,13,7,1,5,1,1,0,0,40,41,0
50,2,193884,4,1,10,1,1,0,0,0,40,16,0
36,2,200352,13,1,3,1,1,0,0,0,45,41,0
31,2,127595,9,2,3,5,1,1,0,0,40,41,0
29,4,220419,13,7,11,5,1,0,0,0,56,41,0
21,2,231931,10,7,5,3,1,0,0,0,45,41,0
27,2,248402,13,7,9,4,2,1,0,0,40,41,0
65,2,111095,9,1,6,1,1,0,0,0,16,41,0
37,5,57424,13,2,5,5,1,1,0,0,60,41,0
24,2,278130,9,7,10,3,1,0,0,0,40,41,0
38,2,169469,9,2,5,5,1,0,0,0,80,41,0
48,2,146268,13,1,14,1,1,0,7688,0,40,41,1
21,2,153718,10,7,4,5,3,1,0,0,25,41,0
31,2,217460,9,1,6,1,1,0,0,0,45,41,1
55,2,238638,9,1,5,1,1,0,4386,0,40,41,1
24,2,303296,10,1,14,2,3,1,0,0,40,17,0
43,2,173321,9,2,14,5,1,1,0,0,40,41,0
26,2,193945,12,7,9,5,1,0,0,0,45,41,0
46,2,83082,12,7,3,5,1,1,0,0,33,41,0
35,2,193815,12,1,14,1,1,0,0,0,40,41,1
41,5,34987,10,1,7,1,1,0,0,0,54,41,1
26,2,59306,13,7,5,5,1,0,0,0,40,41,0
34,2,142897,14,1,1,1,3,0,7298,0,35,18,1
36,1,205607,13,2,3,5,2,1,0,0,40,41,1
22,2,199698,10,7,5,3,1,0,0,0,15,41,0
24,2,191954,10,7,8,5,1,0,0,0,40,41,0
77,1,138714,10,1,5,1,1,0,0,0,40,41,0
22,2,399087,3,1,8,4,1,1,0,0,40,4,0
29,2,423158,10,7,9,5,1,1,0,0,40,41,0
62,2,159841,9,6,4,5,1,1,0,0,24,41,0
39,1,174308,9,1,1,1,1,0,0,0,40,41,0
43,2,50356,10,1,10,1,1,0,0,1485,50,41,0
35,2,186110,9,2,6,5,1,0,0,0,45,41,0
29,2,200381,7,7,1,5,1,1,0,0,40,41,0
76,1,174309,14,1,10,1,1,0,0,0,10,41,0
63,1,78383,9,1,7,1,1,0,0,0,45,41,0
43,2,187728,10,1,3,2,1,1,0,1887,50,41,1
58,1,321171,9,1,2,1,1,0,0,0,40,41,0
66,2,127921,9,7,6,5,1,0,2050,0,55,41,0
41,2,206565,10,7,10,5,2,0,0,0,45,41,0
26,2,224563,13,7,14,5,1,0,0,0,40,41,0
47,2,178686,11,7,4,5,1,0,0,0,40,41,0
55,4,98545,6,1,14,1,1,0,0,0,40,41,0
53,2,242606,9,1,6,1,1,0,0,0,40,41,0
17,2,270942,3,7,4,4,1,0,0,0,48,4,0
30,2,94235,9,7,10,4,1,0,0,0,40,41,0
49,2,71195,14,7,3,5,1,0,0,0,60,41,0
19,2,104112,9,7,5,4,2,0,0,0,30,19,0
45,2,261192,9,1,4,1,2,0,0,0,40,41,0
26,2,94936,12,7,5,5,1,0,0,0,40,41,0
38,2,296478,11,1,10,1,1,0,7298,0,40,41,1
36,0,119272,9,1,11,1,1,0,7298,0,40,41,1
33,2,85043,9,7,7,5,1,0,0,0,20,41,0
22,0,293364,10,7,11,3,2,1,0,0,40,41,0
43,1,241895,13,7,5,5,1,0,0,0,42,41,0
56,2,101128,12,3,4,5,1,0,0,0,25,10,0
31,2,156464,13,7,3,3,1,0,0,0,25,41,0
33,2,117963,13,1,1,1,1,0,0,0,40,41,1
26,2,192262,9,1,4,1,1,0,0,0,40,41,0
33,2,111363,13,1,1,1,1,0,0,0,40,41,1
46,4,329752,7,1,6,1,1,0,0,0,30,41,0
38,3,95432,9,1,14,1,1,0,0,0,40,41,1
65,2,161400,7,6,4,4,5,0,0,0,40,41,0
40,2,96129,11,1,9,1,1,0,0,0,40,41,1
42,2,111949,9,1,14,2,1,1,0,0,35,41,0
26,1,117125,5,1,10,1,1,0,0,0,40,20,0
36,2,348022,6,1,4,2,1,1,0,0,24,41,0
62,2,270092,14,1,3,1,1,0,0,0,40,41,1
43,2,180609,13,1,6,1,1,0,0,0,45,41,0
43,2,174575,13,2,1,5,1,0,0,1564,45,41,1
22,2,410439,9,3,5,5,1,0,0,0,55,41,0
28,2,92262,9,1,10,1,1,0,0,0,40,41,0
56,1,183081,10,1,5,1,1,0,0,0,45,41,0
22,2,362589,12,7,5,5,1,1,0,0,15,41,0
57,2,212448,13,2,1,5,1,1,0,0,45,41,1
39,2,481060,9,2,5,4,1,1,0,0,40,41,0
26,3,185885,10,7,14,4,1,1,0,0,15,41,0
17,2,89821,7,7,4,3,1,0,0,0,10,41,0
40,0,184018,11,1,8,1,1,0,0,0,38,41,1
45,2,256649,9,1,8,1,2,0,0,0,40,41,0
44,2,160323,9,7,10,5,2,0,0,0,40,41,0
20,4,350845,10,7,14,3,1,1,0,0,10,41,0
33,2,267404,9,1,10,2,1,1,0,0,40,41,0
23,2,35633,10,7,5,5,1,0,0,0,40,41,0
46,1,80914,14,2,1,5,1,0,0,0,30,41,0
38,2,172927,9,1,5,1,1,0,0,0,50,41,0
54,2,174319,9,2,6,5,1,0,0,0,40,41,0
46,2,214955,3,2,10,5,1,1,0,2339,45,41,0
25,2,344991,10,1,10,1,1,0,0,0,40,41,0
46,2,108699,10,2,5,5,1,1,0,0,40,41,0
36,4,117312,10,1,6,2,1,1,0,0,40,41,0
23,2,396099,9,7,4,5,1,1,0,0,25,41,0
29,2,134152,9,4,8,5,1,0,0,0,40,41,0
44,2,162028,10,1,14,2,1,1,0,2415,6,41,1
19,2,25429,10,7,14,3,1,1,0,0,16,41,0
19,2,232392,9,7,4,4,1,1,0,0,40,41,0
35,2,220098,9,1,4,2,1,1,0,0,40,41,1
27,2,301302,13,7,10,5,1,0,0,0,50,41,0
46,1,277946,12,4,10,5,1,0,0,0,40,41,0
34,2,196164,9,7,4,5,1,1,0,0,35,41,0
44,2,115562,10,1,9,1,1,0,0,0,40,41,0
45,2,96975,10,2,2,4,1,1,0,0,40,41,0
25,2,86872,13,1,1,1,1,0,0,0,55,41,1
52,5,132178,13,1,1,1,1,0,0,0,50,41,1
20,2,416103,10,7,2,3,1,0,0,0,40,41,0
28,2,108574,10,7,4,5,1,1,0,0,40,41,0
50,0,288353,13,1,11,1,1,0,0,0,40,41,1
34,2,227689,11,2,9,5,1,1,0,0,64,41,0
28,2,166481,4,1,2,1,5,0,0,2179,40,5,0
41,2,445382,14,1,1,1,1,0,0,1977,65,41,1
28,2,110145,9,1,14,1,1,0,0,0,40,41,0
46,1,317253,9,1,10,1,1,0,0,0,25,41,0
32,2,364657,10,1,1,1,1,0,0,0,50,41,0
41,4,42346,10,2,4,5,2,1,0,0,24,41,0
24,2,241951,9,7,2,4,2,1,0,0,40,41,0
33,2,118500,10,2,1,4,1,1,0,0,40,41,0
46,2,188386,16,1,1,1,1,0,15024,0,60,41,1
31,0,1033222,10,1,8,1,1,0,0,0,40,41,0
35,2,92440,8,2,10,5,1,0,0,0,50,41,1
52,2,190762,2,1,8,1,1,0,0,0,40,4,0
30,2,426017,7,7,4,3,1,1,0,0,19,41,0
34,4,243867,7,4,8,5,2,0,0,0,40,41,0
34,0,240283,9,2,6,4,1,1,0,0,40,41,0
20,2,61777,10,1,5,1,1,0,0,0,30,41,0
17,2,175024,7,7,2,3,1,0,2176,0,18,41,0
32,0,92003,13,1,1,2,1,1,0,0,40,41,1
29,2,188401,9,2,7,5,1,0,0,0,40,41,0
33,2,228528,6,7,10,4,1,1,0,0,35,41,0
25,2,133373,9,1,6,1,1,0,0,0,60,41,0
36,3,255191,14,7,3,5,1,0,0,1408,40,41,0
23,2,204653,9,7,2,5,1,0,0,0,72,21,0
63,5,222289,9,1,1,1,1,0,0,0,40,41,1
47,4,287480,14,1,3,1,1,0,0,0,40,41,0
40,1,204116,13,3,3,5,1,1,2174,0,40,41,0
30,2,29662,12,1,4,2,1,1,0,0,25,41,1
27,2,116358,10,7,10,3,3,0,0,1980,40,11,0
33,2,208405,14,1,3,1,1,0,0,0,50,41,1
34,4,284843,9,7,7,5,2,0,594,0,60,41,0
34,4,117018,10,7,11,5,1,1,0,0,40,41,0
23,2,81281,10,1,14,1,1,0,0,0,40,41,0
42,4,340148,10,1,14,2,1,1,0,0,40,41,0
29,2,363425,13,7,3,5,1,0,0,0,40,41,0
45,2,45857,9,2,14,5,1,1,0,0,28,41,0
24,3,191073,9,7,12,3,1,0,0,0,40,41,0
44,2,116632,10,1,3,1,1,0,0,0,40,41,1
27,2,405855,5,7,10,4,1,0,0,0,40,4,0
20,2,298227,10,7,5,5,1,0,0,0,35,41,0
44,2,290521,9,6,1,4,2,1,0,0,40,41,0
51,2,56915,9,1,10,1,4,0,0,0,40,41,0
20,2,146538,9,1,8,1,1,0,0,0,40,41,0
19,2,206399,9,7,8,3,2,1,0,0,40,41,0
45,5,197332,10,1,10,1,1,0,0,0,55,41,1
60,2,245062,9,1,10,1,1,0,0,0,40,41,1
44,1,234885,9,1,5,2,1,1,0,0,40,41,1
40,2,72887,11,1,8,1,3,0,0,0,40,41,1
30,2,180374,9,1,1,2,1,1,0,0,40,41,0
38,2,351299,10,1,6,1,2,0,0,0,50,41,0
23,2,54012,9,1,6,1,1,0,0,0,60,41,0
44,2,116632,12,7,7,3,1,0,0,0,40,41,0
54,4,288825,9,1,6,1,2,0,0,0,40,41,0
32,2,132601,13,1,3,1,1,0,0,0,50,41,0
50,2,193374,2,3,10,4,1,0,0,0,40,41,0
24,2,170070,13,7,9,5,1,1,0,0,20,41,0
37,2,126708,9,1,14,2,1,1,0,0,60,41,0
52,2,35598,9,2,6,4,1,0,0,0,40,41,0
38,2,33983,10,1,6,1,1,0,0,0,40,41,0
49,2,192776,14,1,1,1,1,0,0,1977,45,41,1
30,2,118551,13,1,9,2,1,1,0,0,16,41,1
60,2,201965,10,7,3,4,1,0,0,0,40,41,1
35,2,285020,9,7,10,5,1,0,0,0,40,41,0
30,2,303990,9,7,6,5,1,0,0,0,60,41,0
67,2,49401,11,2,4,5,1,1,0,0,24,41,0
46,2,279196,13,7,10,5,1,1,0,0,40,41,0
17,2,211870,5,7,4,5,1,0,0,0,6,41,0
22,2,281432,10,7,2,3,1,0,0,0,30,41,0
27,2,161155,6,7,4,5,1,0,0,0,40,41,0
23,2,197904,9,7,4,4,1,1,0,0,35,41,0
33,2,111746,12,1,10,1,1,0,0,0,45,20,0
43,1,170721,10,1,10,1,1,0,0,0,20,41,0
28,0,70100,13,7,3,5,1,0,0,0,20,41,0
41,2,193626,9,3,10,4,1,1,0,0,40,41,0
25,2,189775,10,3,14,3,2,1,0,0,20,41,0
59,4,286967,9,1,6,1,1,0,0,0,45,41,0
45,4,164427,13,2,3,4,1,1,0,0,40,41,0
38,2,91039,13,1,5,1,1,0,15024,0,60,41,1
40,2,347934,9,7,4,5,1,1,0,0,35,41,0
46,3,371373,9,2,14,5,1,0,0,0,40,41,0
35,2,32220,12,7,1,5,1,1,0,0,60,41,0
34,2,187251,9,2,3,4,1,1,0,0,25,41,0
33,2,178107,13,7,10,3,1,0,0,0,20,41,0
41,2,343121,9,2,14,4,1,1,0,0,36,41,0
20,2,262749,10,7,8,3,1,0,0,0,40,41,0
23,2,403107,3,7,4,3,1,0,0,0,40,22,0
26,2,64293,10,7,3,5,1,1,0,0,35,41,0
23,4,324960,9,7,7,5,1,0,0,0,40,12,0
62,4,114060,9,1,6,1,1,0,0,0,40,41,0
52,2,48925,10,1,14,1,1,0,0,0,40,41,0
58,2,180980,10,2,4,4,1,1,0,0,42,23,0
25,2,181054,13,7,5,5,1,1,0,0,40,41,0
24,2,388093,13,7,1,5,2,0,0,0,40,41,0
19,2,249609,10,7,11,3,1,0,0,0,8,41,0
43,2,112131,10,1,1,1,1,0,0,0,40,41,0
47,4,543162,9,4,14,4,2,1,0,0,40,41,0
39,2,91996,9,2,4,4,1,1,0,0,40,41,0
49,2,141944,11,3,2,4,1,0,0,1380,42,41,0
32,2,37070,11,7,10,5,1,0,0,0,45,41,0
34,2,337587,10,1,3,1,1,0,0,0,50,41,1
28,2,189346,9,2,10,5,1,0,0,0,45,41,0
25,2,267044,10,7,14,5,4,1,0,0,20,41,0
